model,percentile,dmi,marginal_effect,se,ci_lower,ci_upper,beta_ai,beta_ai_dmi,ai_dmi_pvalue,N,r_squared
Integrated model,P10,1.0,-0.032332712160105935,0.010055036200075656,-0.05204058311225422,-0.012624841207957649,-0.03110340595793007,-0.0012293062021758666,0.1218328346169836,12203,0.15166016437805896
Integrated model,P25,3.0,-0.03479132456445767,0.009538493302281072,-0.053486771436928565,-0.016095877691986765,-0.03110340595793007,-0.0012293062021758666,0.1218328346169836,12203,0.15166016437805896
Integrated model,P50,5.0,-0.037249936968809405,0.00926891249022918,-0.0554170054496586,-0.01908286848796021,-0.03110340595793007,-0.0012293062021758666,0.1218328346169836,12203,0.15166016437805896
Integrated model,P75,8.0,-0.040937855575337,0.009368979820491065,-0.059301056023499485,-0.022574655127174516,-0.03110340595793007,-0.0012293062021758666,0.1218328346169836,12203,0.15166016437805896
Integrated model,P90,12.0,-0.04585508038404047,0.010389525884789941,-0.06621855111822876,-0.025491609649852188,-0.03110340595793007,-0.0012293062021758666,0.1218328346169836,12203,0.15166016437805896
